Age,d18O
33,8.54
35,6.28
35,6.28
36,5.88
36,5.88
36,7.68
36,7.68
37,5.17
37,5.17
37,5.92
37,5.92
37,5.98
37,5.98
37,6.11
37,6.11
37,6.15
37,6.15
37,6.22
37,6.22
37,6.22
37,6.22
37,6.86
37,6.86
38,5.42
38,5.42
40,5.76
40,5.76
40,6.78
40,6.78
40,7.76
40,7.76
40,8.07
40,8.07
40,8.53
40,8.53
40,8.8
40,8.8
43,6.2
43,6.2
44,4.3
44,4.3
44,4.4
44,4.4
45,3.95
45,3.95
45,7.11
45,7.11
45,7.34
45,7.34
45,7.42
45,7.42
52,9.2
52,9.2
54,6.84
54,6.84
54,6.93
54,6.93
54,5.8
54,5.8
54,6.84
54,6.93
55,7.26
55,7.26
55,9.5
55,9.5
58,1.9
58,1.9
58,3.97
58,3.97
58,4.14
58,4.14
58,4.21
58,4.21
58,4.38
58,4.38
58,0.64
58,0.64
58,0.8
58,0.8
58,0.83
58,0.83
58,1.74
58,1.74
58,2.5
58,2.5
58,2.61
58,2.61
58,2.61
58,2.61
58,2.91
58,2.91
58,2.95
58,2.95
58,3.2
58,3.2
58,3.39
58,3.39
58,3.44
58,3.44
58,3.46
58,3.46
58,4.51
58,4.51
58,4.63
58,4.63
58,5.21
58,5.21
58,5.27
58,5.27
58,5.35
58,5.35
58,5.36
58,5.36
58,5.91
58,5.91
58,7.02
58,7.02
58,7.06
58,7.06
61,8.5
61,8.5
62,6.79
62,6.79
62,6.79
67,5.8
67,5.8
70,6.66
70,6.66
70,7.99
70,7.99
71,7.23
71,7.23
71,7.25
72,6.8
72,6.8
72,8.8
72,8.8
73,7.76
73,7.76
73,7.35
73,7.39
73,7.51
74,6.54
74,6.54
74,6.86
74,6.86
75,6.89
75,6.89
75,6.78
75,6.78
75,7.94
75,7.94
75,8.01
75,8.01
75,8.91
75,8.91
75,9.44
75,9.44
75,9.52
75,9.52
75,9.63
75,9.63
75,9.96
75,9.96
75,6.89
76,6.49
76,6.49
76,5.8
76,5.8
78,6.76
80,5.31
80,5.31
80,5.7
80,5.7
80,5.76
80,5.76
80,5.79
80,5.79
80,5.8
80,5.8
80,5.81
80,5.81
80,9.89
80,9.89
80,5.31
80,6.66
80,7.26
80,7.99
81,9.06
81,9.06
81,6.21
81,6.21
81,6.51
81,6.51
81,6.96
81,6.96
83,7.95
83,7.95
84,5.67
84,5.67
84,5.89
84,5.89
85,7.82
85,7.82
85,8.21
85,8.21
85,5.7
85,5.7
85,6.41
85,6.41
86,1.24
86,1.24
86,7.79
86,7.79
86,7.94
86,7.94
86,8.05
86,8.05
86,8.1
86,8.1
86,8.18
86,8.18
86,8.34
86,8.34
86,8.39
86,8.39
86,6.11
86,6.11
86,6.17
86,6.17
86,6.5
86,6.5
86,6.52
86,6.52
86,6.68
86,6.68
86.862,3.47
86.862,6.08
86.862,6.27
86.862,6.27
86.862,6.46
86.862,6.79
86.862,6.91
86.862,6.99
86.862,7.04
86.862,7.24
86.862,7.66
87.872,6.23
87.872,6.37
87.872,6.41
87.872,6.45
87.872,6.63
87.872,6.68
87.872,6.68
87.872,6.84
87.872,6.89
87.872,6.97
87.872,6.98
87.872,7.09
87.872,7.12
87.872,7.26
88,5.99
88,5.99
88,5.9
88,5.9
88,7.82
88.1,6.3
88.1,6.3
88.1,6.31
88.1,6.31
88.1,6.31
88.1,6.31
88.1,6.34
88.1,6.34
88.1,6.39
88.1,6.39
88.1,6.43
88.1,6.43
88.1,6.49
88.1,6.49
88.1,6.51
88.1,6.51
89,6.43
89,6.43
89,5.33
89,5.33
89,5.47
89,5.47
89,6.19
89,6.19
89,6.32
89,6.32
89.183,6.24
89.183,6.65
89.183,6.71
89.183,6.72
89.183,6.86
89.183,6.94
89.183,7.05
89.183,7.17
89.183,7.35
89.183,7.46
89.183,7.71
90,7.41
90,7.41
90,7.61
90,7.61
90,7.63
90,7.63
90,6
90,6
90,6.09
90,6.09
90,6.22
90,6.22
90,6.25
90,6.25
90,6.67
90,6.67
90,7.66
90,7.66
90,7.91
90,7.91
90,9.41
90,9.41
90,7.5
90,7.5
90,7.51
90,7.51
90,7.53
90,7.53
90,7.63
90,7.63
90,7.67
90,7.67
90,7.72
90,7.72
90,7.73
90,7.73
90,7.76
90,7.76
90,7.76
90,7.76
90,7.77
90,7.77
90,7.81
90,7.81
90,8.02
90,8.02
90,5.52
90,5.52
90,5.78
90,5.78
90,6.14
90,6.14
90,6.25
90,6.25
90,6.38
90,6.38
90,6.49
90,6.49
90,6.51
90,6.51
90,6.55
90,6.55
90,6.56
90,6.56
90,6.57
90,6.57
90,6.63
90,6.63
90,6.64
90,6.64
90,6.65
90,6.65
90,6.65
90,6.65
90,6.68
90,6.68
90,6.76
90,6.76
90,6.78
90,6.78
90,6.82
90,6.82
90,6.92
90,6.92
90,6.95
90,6.95
90,7.03
90,7.03
90,7.06
90,7.06
90,7.07
90,7.07
90,7.18
90,7.18
90,7.2
90,7.2
90,7.36
90,7.36
90,7.36
90,7.36
90,7.48
90,7.48
90,7.54
90,7.54
90,8.25
90,8.25
90.345,6.23
90.345,6.31
90.345,6.49
90.345,6.59
90.345,6.6
90.345,6.6
90.345,6.67
90.345,6.76
90.345,6.99
90.345,7.05
90.345,7.06
90.7,6.3
90.7,6.3
90.7,6.38
90.7,6.38
90.7,6.51
90.7,6.51
91,5.83
91,5.83
91,6.17
91,6.17
91,6.44
91,6.44
91.755,6.32
91.755,6.4
91.755,6.45
91.755,6.5
91.755,6.5
91.755,6.56
91.755,6.65
91.755,6.89
92,7.36
92,7.36
92,7.37
92,7.37
92,5.84
92,5.84
92,5.84
92,5.84
92,6.46
92,6.46
92.9,6.13
92.9,6.13
92.9,6.17
92.9,6.17
92.9,6.27
92.9,6.27
92.9,6.3
92.9,6.3
92.9,6.41
92.9,6.41
92.9,6.45
92.9,6.45
92.9,6.56
92.9,6.56
93,8.56
93,8.56
93,5.55
93,5.55
93,5.65
93,5.65
93,5.98
93,5.98
93,6.01
93,6.01
93,6.07
93,6.07
93,7.4
93,7.4
93.1,6.2
93.1,6.2
93.1,6.23
93.1,6.23
93.1,6.29
93.1,6.29
93.1,6.35
93.1,6.35
93.1,6.39
93.1,6.39
94,3.34
94,3.34
94,7.53
94,7.53
94,7.53
95,8.18
95,8.18
95,8.61
95,8.61
95,4.65
95,4.65
96,6.2
96,6.2
96,7.7
96,7.7
96,7.73
96,7.73
96,7.84
96,7.84
96,7.89
96,7.89
96,7.93
96,7.93
96,9.54
96,9.54
96,7.62
96,7.62
96,5.98
96,5.98
96,6.07
96,6.07
96,6.59
96,6.59
96,6.69
96,6.69
96,6.7
96,6.7
96,6.75
96,6.75
96,6.1
96,6.1
97,5.97
97,5.97
97,7.37
97,7.37
97,7.95
97,7.95
97,8.42
97,8.42
97,5.99
97,5.99
97,6.1
97,6.1
97,6.28
97,6.28
97,6.5
97,6.5
97,6.75
97,6.75
97,6.8
97,6.8
97,7.42
97,7.42
98,7.36
98,7.36
98,7.8
98,7.8
98,8.88
98,8.88
98,7.86
98,7.86
98,7.87
98,7.87
98,7.97
98,7.97
98,8.02
98,8.02
98,8.03
98,8.03
98,8.29
98,8.29
98,8.29
98,8.29
98,8.44
98,8.44
98,8.51
98,8.51
98,8.97
98,8.97
98,6.62
98,6.62
98,6.69
98,6.69
98,6.73
98,6.73
98,7.11
98,7.11
98,7.4
98,7.4
98,7.53
98,7.53
98,4.01
98,4.01
98,4.39
98,4.39
98,4.49
98,4.49
98,4.65
98,4.65
98,5.74
99,6.66
99,6.66
99,7.15
99,7.15
99,5.78
99,5.78
99,5.89
99,5.89
99,7.38
99,7.38
99,7.44
99,7.44
99,7.48
99,7.48
99,8.25
99,8.25
100,5.72
100,5.72
100,5.78
100,5.78
100,6.33
100,6.33
100,7.71
100,7.71
