Age,Hf
2821,2.5
2821,-8.7
2820,-0.2
2820,2.2
2819,-7.4
2819,-7.4
2818,2.3
2818,-5.3
2817,-0.9
2817,-7.9
2817,4.7
2817,1.7
2816,2.9
2816,-9.6
2815,1.5
2815,1.5
2815,0.5
2815,-2.8
2814,0.8
2814,0.5
2813,-0.4
2813,-0.8
2813,2.7
2813,2.5
2813,5.8
2813,-5.3
2813,-8.8
2812,-0.9
2812,-0.7
2811,2.9
2810,-1.2
2810,1.1
2810,-2.0
2809,1.0
2809,-2.3
2808,-0.6
2807,-1.0
2807,3.1
2807,0.6
2805,-0.7
2805,1.7
2804,-0.2
2804,-0.9
2803,1.0
2802,3.0
2800,-0.4
2800,2.5
2800,5.0
2800,-0.1
2799,-0.2
2799,2.5
2798,-0.9
2798,3.1
2798,-0.9
2797,2.1
2797,-9.3
2795,2.7
2794,2.7
2793,1.5
2793,-0.6
2792,-8.2
2792,-7.9
2792,1.6
2792,2.5
2790,-0.3
2790,1.7
2790,5.7
2788,-1.4
2787,3.8
2787,0.4
2787,1.9
2787,-1.4
2786,1.0
2786,-2.5
2786,-11.9
2785,-2.6
2785,3.9
2785,3.7
2784,2.0
2784,1.8
2783,-4.1
2782,-2.0
2781,2.2
2781,-1.6
2781,0.6
2781,-0.9
2781,0.8
2781,-0.7
2780,5.9
2779,1.8
2778,0.0
2778,-4.6
2778,-3.6
2777,-6.2
2777,0.2
2776,1.2
2774,-2.4
2772,-2.7
2772,1.9
2771,-2.0
2771,-0.6
2771,5.5
2771,-1.9
2770,-4.8
2770,0.3
2768,-8.2
2768,-6.7
2768,-1.1
2768,2.3
2768,-0.2
2767,1.1
2767,-0.5
2767,0.4
2766,3.2
2766,1.3
2766,-4.4
2765,-5.5
2764,2.8
2764,3.2
2764,-9.5
2763,-10.0
2762,0.8
2762,-0.2
2762,-4.1
2761,8.6
2761,-0.8
2761,1.0
2761,-0.2
2760,-3.8
2760,-5.0
2760,0.0
2760,0.1
2760,-4.9
2759,-0.7
2759,-4.9
2758,0.5
2758,2.7
2758,0.8
2757,-0.5
2757,-1.1
2757,-4.3
2756,1.7
2756,3.8
2756,-2.9
2756,0.2
2755,1.8
2755,-0.3
2755,0.6
2755,-4.2
2754,2.7
2754,2.7
2753,3.4
2753,-0.5
2752,-1.2
2752,-3.8
2752,-2.7
2752,-10.8
2751,-2.4
2750,4.1
2750,-2.8
2750,-2.1
2750,1.0
2750,2.0
2750,3.0
2750,4.8
2750,-0.3
2750,-2.1
2749,-4.1
2749,-19.3
2749,-0.1
2749,0.0
2749,-1.6
2748,2.1
2748,2.6
2748,1.0
2748,-4.3
2748,0.2
2746,7.5
2746,1.9
2746,-2.0
2746,-0.6
2746,-1.1
2745,0.0
2745,-4.5
2745,-2.1
2744,3.4
2744,3.7
2744,-1.9
2744,-3.5
2743,3.2
2743,3.0
2743,3.1
2743,-5.2
2743,1.4
2743,3.9
2741,2.7
2741,2.2
2741,-1.2
2741,5.2
2741,-3.9
2740,-7.8
2740,3.2
2740,3.7
2740,4.0
2740,5.4
2740,6.9
2740,7.1
2740,7.9
2740,3.1
2739,1.5
2739,-2.8
2739,-0.4
2739,-2.3
2739,2.7
2739,-2.7
2739,0.7
2738,-0.1
2738,2.6
2738,3.3
2738,-10.9
2738,-9.7
2738,-9.6
2738,-9.5
2738,-9.5
2738,-9.4
2738,-9.2
2738,-8.7
2738,-7.5
2738,-6.2
2738,-0.4
2737,-5.1
2737,-4.9
2736,1.3
2736,0.5
2735,-1.5
2735,0.5
2735,-0.4
2735,-9.8
2735,-1.4
2734,-0.4
2734,-7.5
2733,2.5
2733,-4.5
2733,-3.0
2733,-0.9
2733,2.8
2733,-1.6
2732,3.9
2732,1.1
2732,0.6
2732,0.2
2731,-3.6
2731,-0.2
2731,2.3
2731,2.1
2731,0.7
2731,-0.2
2730,2.9
2730,-3.7
2729,-2.9
2729,1.7
2728,2.6
2728,0.9
2728,-2.7
2727,-9.8
2727,1.2
2727,1.2
2727,-2.2
2726,3.2
2726,7.0
2726,2.4
2726,-0.4
2726,-11.0
2726,4.0
2725,-1.3
2725,-0.7
2724,2.1
2724,1.3
2724,-4.1
2724,0.7
2724,-1.7
2724,0.4
2723,2.1
2723,-2.7
2723,2.5
2723,-3.1
2722,-1.6
2722,1.5
2722,1.7
2721,0.1
2721,0.7
2721,-0.6
2721,6.5
2720,-11.4
2720,-4.5
2719,-3.1
2719,2.8
2719,1.1
2718,-1.4
2718,3.1
2718,-2.0
2718,1.0
2718,-6.4
2717,2.4
2716,3.0
2716,-4.2
2716,0.8
2716,2.0
2715,1.2
2715,-1.8
2715,-3.3
2714,2.1
2714,1.7
2714,-1.3
2714,-1.1
2714,-0.2
2714,0.5
2713,1.5
2713,-4.0
2713,2.5
2712,-2.3
2712,4.5
2712,-0.1
2712,-0.3
2712,-1.3
2712,-3.3
2712,-1.7
2711,-7.8
2711,1.2
2711,-7.2
2710,2.7
2709,2.5
2709,-2.7
2709,-2.5
2709,-2.4
2709,-2.3
2709,-2.3
2709,-1.7
2709,-1.5
2709,-1.2
2709,-0.9
2709,-0.8
2709,-0.3
2709,-0.2
2709,-0.1
2709,-0.1
2709,0.1
2709,0.1
2709,0.4
2709,0.8
2709,1.1
2709,1.2
2708,-2.8
2708,1.6
2708,-1.1
2708,2.6
2708,-1.5
2708,2.5
2708,-1.3
2708,-0.1
2707,-2.6
2707,-3.8
2707,-0.7
2706,0.4
2706,1.3
2706,0.0
2706,-0.5
2706,-2.7
2705,-0.3
2705,-2.4
2704,0.1
2704,-8.4
2704,0.6
2704,-1.1
2703,2.1
2703,-2.6
2703,-1.0
2703,-4.9
2703,-3.5
2703,0.0
2703,-0.9
2703,-0.8
2703,-0.8
2703,0.0
2703,0.5
2703,0.5
2703,0.9
2703,1.0
2703,2.0
2703,2.1
2703,4.1
2703,8.1
2702,-1.9
2702,-5.3
2702,0.4
2702,0.4
2702,-2.2
2701,2.2
2701,-0.8
2701,1.4
2701,-0.4
2701,-7.8
2700,2.6
2700,-4.1
2700,-1.6
2700,-1.0
2700,-0.9
2700,-0.7
2700,-0.2
2700,-0.2
2700,0.0
2700,0.2
2700,0.3
2700,0.4
2700,0.4
2700,0.5
2700,0.7
2700,3.8
2700,4.8
2700,8.0
2700,9.0
2700,-3.5
2699,1.4
2699,3.4
2699,-9.8
2699,2.5
2698,1.9
2698,-10.4
2698,3.2
2697,1.1
2697,1.1
2697,2.7
2697,-1.8
2697,-5.6
2697,-9.4
2697,0.2
2697,-7.2
2696,-2.0
2696,-0.4
2696,-7.0
2696,1.6
2696,-0.5
2695,-1.0
2695,-1.1
2695,1.3
2695,-2.5
2695,-6.5
2695,-17.2
2695,-2.3
2694,6.2
2693,0.3
2693,-1.1
2693,-6.8
2693,-3.4
2692,-6.0
2692,0.8
2692,1.7
2692,-2.0
2692,-0.7
2691,2.3
2691,-8.0
2691,-0.4
2690,-2.2
2690,-3.3
2690,0.7
2689,-3.6
2689,-5.5
2689,2.8
2688,-0.4
2688,2.1
2688,-5.3
2688,-10.1
2688,2.1
2688,-4.6
2688,-4.9
2687,-6.8
2687,-3.3
2686,-0.6
2686,-4.0
2686,-1.4
2686,-3.9
2686,-3.0
2685,-3.9
2684,2.6
2684,-0.7
2684,-1.7
2684,2.5
2683,3.1
2683,-10.4
2683,0.5
2682,1.4
2682,1.3
2682,1.1
2682,5.9
2682,-2.8
2681,-11.6
2681,-3.0
2681,2.8
2681,-1.5
2681,-4.4
2680,-8.2
2680,-11.6
2680,-9.1
2679,-7.5
2679,-5.1
2679,-3.8
2679,-3.4
2678,-1.9
2678,3.1
2678,1.3
2677,-9.5
2677,0.1
2677,1.3
2677,1.7
2677,1.7
2677,2.3
2677,2.6
2677,2.9
2677,3.3
2677,3.5
2677,5.2
2676,2.4
2676,-1.0
2676,-3.9
2676,0.8
2675,2.7
2675,-3.1
2674,1.6
2674,2.8
2674,-1.7
2674,2.5
2674,0.6
2674,-0.9
2674,-4.1
2673,-1.3
2673,-5.1
2673,1.3
2673,0.8
2673,-11.5
2673,-8.3
2673,-1.3
2672,2.1
2672,-0.4
2672,-8.5
2672,-6.6
2672,2.2
2671,-0.3
2671,-4.2
2671,-9.8
2671,-10.2
2671,0.4
2671,-3.7
2671,-3.2
2670,-4.1
2670,-10.2
2669,2.4
2669,1.1
2669,2.1
2669,-1.6
2669,-4.6
2668,0.9
2667,1.5
2667,1.2
2667,2.1
2667,1.2
2667,-8.1
2667,-5.9
2666,1.8
2666,-2.6
2666,-2.3
2666,-10.6
2666,-10.8
2666,-12.5
2665,-4.4
2665,1.7
2665,-7.6
2665,-4.4
2665,0.6
2665,-0.5
2665,-1.2
2664,1.2
2664,-6.0
2664,-3.8
2664,4.2
2663,6.5
2663,-8.1
2663,-4.0
2663,3.6
2662,1.2
2662,0.3
2662,2.7
2662,-3.0
2662,-3.0
2662,2.5
2662,1.1
2661,2.8
2661,-4.5
2661,-4.1
2661,3.1
2661,-6.6
2660,1.6
2660,1.5
2660,2.1
2660,1.4
2659,8.3
2659,-0.8
2659,-4.3
2658,4.5
2658,1.8
2658,-3.7
2657,-3.5
