Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level  (C = 176.6 106km2/km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr/86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
252.0,1.0,0.0,0.5068873780668046,0.2634559493125004,0.8052103973161626,0.0326275870453417,1.0,1.0,0.9304845614280424,0.1102502469036754,0.969434494296278,0.6000000000000001,0.0080438533776191,3.948097776843044e-05,0.0909090909090909,0.1,0.017316017316017316,0.49915377176015474,0.7529411764705882,0.6602530991735537
251.95,1.0,0.0,0.5069883732387427,0.2634559493125004,0.8056566694556255,0.0320423694773529,1.0,0.9988717766023364,0.9318690727040349,0.1109699738187199,0.9346241240128312,0.6099999999999994,0.0082986126583229,3.25004517683203e-05,0.0954545454545454,0.102,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
251.9,1.0,0.0,0.5070893684106809,0.2634559493125004,0.8061029415950884,0.0314571519093639,1.0,0.9977435532046736,0.9332535839800268,0.1116897007337644,0.8998137537293841,0.619999999999999,0.0085533719390267,2.5519925768210166e-05,0.1,0.104,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
251.85,1.0,0.0,0.5071903635826189,0.2634559493125004,0.8065492137345515,0.0308719343413751,1.0,0.9966153298070102,0.9346380952560192,0.1127010377292859,0.8680583654537698,0.6299999999999982,0.0088276716769113,2.543099335209729e-05,0.1045454545454545,0.106,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
251.8,1.0,0.0,0.5072913587545572,0.2634559493125004,0.8069954858740146,0.0302867167733861,1.0,0.9954871064093472,0.9360226065320112,0.1137123747248074,0.8363029771781598,0.6399999999999976,0.0091019714147959,2.534206093598443e-05,0.109090909090909,0.108,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
251.75,1.0,0.0,0.5073923539264953,0.2634559493125004,0.8074417580134775,0.0297014992053973,1.0,0.9943588830116836,0.9374071178080036,0.1153765701094566,0.8211378594081254,0.65,0.009430475607122,1.526628565625846e-05,0.1136363636363636,0.11,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
251.7,1.0,0.0,0.5074933490984334,0.2634559493125004,0.8078880301529404,0.0291162816374085,1.0,0.9932306596140208,0.9387916290839958,0.1180704672230072,0.7830608551233941,0.6599999999999996,0.0098104509469383,7.63314282812923e-06,0.1181818181818181,0.112,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
251.65,1.0,0.0,0.5075943442703714,0.2634559493125004,0.8083343022924033,0.0285310640694195,1.0,0.9921024362163572,0.940176140359988,0.1207643643365577,0.7449838508366134,0.6699999999999989,0.0101904262867546,0.0,0.1227272727272727,0.114,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
251.6,1.0,0.0,0.5076953394423096,0.2634559493125004,0.8087805744318664,0.0279458465014307,1.0,0.9909742128186942,0.9415606516359802,0.1245573602947099,0.7558479029605268,0.6799999999999984,0.010621074481208,2.1714220156855795e-05,0.1272727272727272,0.116,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
251.55,1.0,0.0,0.5077963346142478,0.2634559493125004,0.8092268465713293,0.0273606289334417,1.0,0.9898459894210307,0.9429451629119724,0.1283503562528621,0.7667119550844398,0.6899999999999977,0.0110517226756615,4.342844031372087e-05,0.1318181818181818,0.118,0.017316017316017316,0.49915377176015474,0.6941176470588235,0.6707522061913433
