Age,BIO_AllGenera,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,BIO_Difference_Cycle62,SEA_Modern land sea level  (C = 176.6 106km2/km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr/86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
184.6,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7254310769533945,0.7909867242264529,0.13622207404729533,0.3055137362544105,0.30354294814976024,0.16356940509915013,0.2054953462163306,0.5575337881348174,0.1061942157843128,0.07039876984077158,0.2000000000000001,0.22107123584470692,0.17408280336651027,0.014372298995482513,0.7512292258765181,0.28486487158266405,0.4752616534397792
184.55,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7252734259532959,0.7910527363601119,0.1358248849697472,0.3058483656523571,0.3034441556466859,0.16312322946175636,0.2046536025562312,0.5575713348459536,0.10614356980018654,0.06806698909057922,0.2000000000000001,0.22107889445076992,0.17454121921299418,0.014545463670420224,0.7504260688579228,0.2850000092889156,0.4754962974779116
184.5,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7251157749531973,0.7911187484937705,0.13542769589219908,0.3061829950503034,0.30334536314361155,0.1626770538243626,0.20381185889613185,0.5576088815570895,0.10614356980018654,0.06559502247738459,0.2000000000000001,0.22107961658301525,0.17491721042336358,0.01471860989414057,0.7496229118393274,0.2851351149644238,0.4757309415160438
184.45,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7249581239530989,0.7911847606274295,0.13503050681465098,0.3065176244482499,0.3032465706405372,0.16223087818696882,0.2029701152360327,0.5576464282682255,0.10613723905217076,0.0630147904466583,0.2000000000000001,0.2210814120736099,0.17528809320195846,0.014891774569078276,0.7488197547700763,0.2852702526706753,0.4759655855541762
184.4,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7248004729530002,0.7912507727610884,0.13463331773710285,0.3068522538461964,0.3031477781374629,0.16178470254957508,0.20212837157593333,0.5576839749793616,0.10613090830415496,0.06043455841593019,0.2000000000000001,0.22108320756420455,0.1756589759805533,0.015064939244015984,0.7480165977008253,0.2854053903769269,0.4762002295923085
184.35,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7246428219529018,0.7913167848947472,0.13423612865955478,0.3071868832441428,0.3030489856343888,0.1613385269121813,0.201286627915834,0.5577215216904976,0.10621953877637594,0.05775504225532861,0.2000000000000001,0.2210734665712769,0.17597064665380255,0.01523810391895369,0.74721344068223,0.2855405280831784,0.4764348736304408
184.3,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7244851709528033,0.7913827970284061,0.13383893958200666,0.3075215126420893,0.30295019313131444,0.16089235127478754,0.2004448842557348,0.5577590684016337,0.10630816924859693,0.05507552609473066,0.2000000000000001,0.22106372557834925,0.17628231732705174,0.015411268593891397,0.7464102836636345,0.28567566578943,0.4766695176685731
184.25,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7243275199527047,0.7914488091620648,0.13344175050445853,0.3078561420400358,0.3028514006282401,0.16044617563739375,0.19960314059563544,0.5577966151127698,0.10644744570494416,0.05235634235381795,0.2000000000000001,0.22102906880468612,0.17652455217759236,0.015584414817611747,0.745607126645039,0.2858108355264249,0.4769041617067055
184.2,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7241698689526062,0.7915148212957237,0.13304456142691046,0.3081907714379821,0.3027526081251657,0.16,0.19876139693553604,0.5578341618239058,0.10662470664938613,0.049633950052466375,0.2000000000000001,0.22099583178078508,0.17675212153778405,0.015757579492549453,0.7448039696264438,0.2859459732326765,0.4771388057448378
184.15,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7240122179525076,0.7915808334293826,0.13264737234936233,0.30852540083592866,0.3026538156220914,0.15955382436260626,0.19791965327543667,0.5578717085350419,0.10680196759382808,0.04691155775111721,0.2000000000000001,0.22096259475688396,0.17697969089797574,0.015930744167487163,0.7440008126078484,0.2860811109389281,0.4773734497829701
184.1,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7238545669524091,0.7916468455630414,0.13225018327181426,0.30886003023387515,0.3025550231190173,0.1591076487252125,0.1970779096153373,0.557909255246178,0.10704253601842788,0.04423551501402491,0.2000000000000001,0.2209316478409376,0.177269761692746,0.01610390884242487,0.7431976555385973,0.28621621661443625,0.4776080938211024
184.05,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7236969159523106,0.7917128576967002,0.1318529941942661,0.3091946596318215,0.30245623061594296,0.15866147308781867,0.19623616595523816,0.5579468019573139,0.10728310444302767,0.04155947227693261,0.2000000000000001,0.22090070092499134,0.1775598324875162,0.016277073517362576,0.7423944984693462,0.2863513222899445,0.4778427378592347
184.0,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.723539264952212,0.7917788698303592,0.131455805116718,0.309529289029768,0.3023574381128686,0.15821529745042492,0.1953944222951388,0.55798434866845,0.10762496483588002,0.038957390945713766,0.2000000000000001,0.22086448931460345,0.17794524719066962,0.016450219741082926,0.7415913414507508,0.2864864920269394,0.478077381897367
183.95,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7233761946989852,0.7917568657858062,0.1310586160391699,0.3114656923672067,0.3005491906522093,0.15776912181303115,0.19530520608769728,0.5580610705971253,0.10799847896881128,0.036470150787813925,0.2000000000000001,0.22084660072924606,0.17833256040030765,0.016623384416020633,0.7407881844321554,0.28662162973319105,0.4783120259354994
183.9,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7232131244457581,0.7917348617412533,0.13066142696162178,0.3134020957046456,0.2987409431915502,0.15732294617563738,0.19521598988025576,0.5581377925258005,0.10837199310174253,0.03398291062991469,0.2000000000000001,0.22082871214388872,0.17871987360994562,0.01679654909095834,0.7399850274135601,0.28675676743944256,0.4785466699736317
183.85,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7230500541925313,0.7917128576967002,0.13026423788407368,0.3153384990420843,0.2969326957308909,0.15687677053824362,0.19512677367281425,0.5582145144544758,0.10882780695887899,0.031705134335324396,0.2000000000000001,0.2208160421812088,0.1791952404430061,0.016969695314678686,0.7391818703949646,0.2868919051456941,0.478781314011764
183.8,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7228869839393043,0.7916908536521473,0.12986704880652558,0.3172749023795232,0.29512444827023165,0.15643059490084985,0.19503755746537274,0.558291236383151,0.10928362081601546,0.029427358040733497,0.2000000000000001,0.2208033722185289,0.1796706072760666,0.017142841538399033,0.7383787133763693,0.2870270428519456,0.4790159580498963
183.75,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7227239136860775,0.7916688496075944,0.12946985972897748,0.3192113057169619,0.2933162008095724,0.1559844192634561,0.19494834125793126,0.5583679583118264,0.10980274215330976,0.02735013159853857,0.2000000000000001,0.22079569700387933,0.18022031425368515,0.017316024664554102,0.7375755562564626,0.28716214852745386,0.4792506020880286
183.7,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7225608434328505,0.7916468455630415,0.12907267065142936,0.3211477090544005,0.2915079533489133,0.15553824362606233,0.19485912505048966,0.5584446802405014,0.11038517097076188,0.025518772028376872,0.2000000000000001,0.22078548971919465,0.1807431601311474,0.01748918933949181,0.7367723992378672,0.28729728623370543,0.479485246126161
183.65,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7223977731796236,0.7916248415184884,0.12867548157388126,0.32308411239183943,0.28969970588825394,0.15509206798866856,0.1947699088430482,0.5585214021691768,0.11096759978821404,0.02368741245821457,0.2000000000000001,0.22077528243450986,0.1812660060086097,0.017662354014429518,0.7359692422192718,0.2874324239399569,0.4797198901642932
183.6,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7222347029263967,0.7916028374739356,0.12827829249633316,0.3250205157292781,0.2878914584275947,0.1546458923512748,0.1946806926356067,0.558598124097852,0.11160700533780823,0.022245960745248643,0.2000000000000001,0.22075745544880765,0.18170081481210285,0.017835500238149858,0.7351660852006764,0.2875675616462085,0.4799545342024256
183.55,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7220716326731698,0.7915808334293826,0.12788110341878506,0.326956919066717,0.2860832109669356,0.15419971671388102,0.1945914764281652,0.5586748460265274,0.11224641088740243,0.020804509032281506,0.2000000000000001,0.2207396284631054,0.182135623615596,0.01800864646187021,0.7343629281820809,0.2877026993524601,0.4801891782405579
183.5,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7219085624199428,0.7915588293848297,0.12748391434123693,0.3288933224041557,0.28427496350627635,0.15375354107648725,0.19450226022072367,0.5587515679552026,0.1128921471850124,0.019703356427711264,0.2000000000000001,0.2207169839065895,0.18253848913225112,0.01818182958802528,0.7335597711634857,0.28783786908945497,0.4804238222786902
183.45,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.721745492166716,0.7915368253402767,0.1270867252636888,0.3308297257415944,0.2824667160456171,0.1533073654390935,0.19441304401328216,0.5588282898838778,0.11365816769492228,0.018991988577477557,0.2000000000000001,0.2206733852860328,0.18283038922670086,0.018354975811745618,0.7327566140942346,0.2879729747649632,0.4806584663168225
183.4,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.721582421913489,0.7915148212957238,0.1266895361861407,0.33276612907903325,0.280658468584958,0.15286118980169974,0.19432382780584065,0.558905011812553,0.11442418820483215,0.01828062072724808,0.2000000000000001,0.22062978666547609,0.18312228932115066,0.018528122035465968,0.7319534570249835,0.28810808044047137,0.4808931103549549
183.35,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7214193516602622,0.7914928172511708,0.1262923471085926,0.334702532416472,0.2788502211242987,0.15241501416430595,0.19423461159839914,0.5589817337412284,0.11521553170680518,0.01815698452891365,0.2000000000000001,0.22059226877837526,0.1833796254643124,0.01870128671040368,0.7311503000063881,0.2882432181467229,0.4811277543930872
183.3,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7212562814070351,0.7914708132066179,0.12589515803104448,0.33663893575391085,0.2770419736636394,0.15196883852691218,0.19414539539095765,0.5590584556699035,0.1160068752087782,0.01803334833057982,0.2000000000000001,0.22055475089127444,0.1836369616074741,0.018874451385341384,0.7303471429877928,0.2883783558529745,0.4813623984312195
183.25,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7210932111538083,0.7914488091620648,0.1254979689534964,0.3385753390913495,0.2752337262029803,0.1515226628895184,0.1940561791835161,0.5591351775985788,0.11681721095479855,0.018402686614678834,0.2000000000000001,0.2205185511116606,0.18383271957495614,0.019047634511496457,0.7295439859691975,0.28851352558996946,0.4815970424693518
183.2,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7209301409005814,0.7914268051175121,0.12510077987594828,0.34051174242878823,0.27342547874232104,0.15107648725212466,0.19396696297607466,0.559211899527254,0.1176402081968505,0.019318921909251736,0.2000000000000001,0.22048711754137504,0.18411804351843325,0.019220780735216804,0.7287408289506021,0.288648663296221,0.4818316865074841
183.15,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7207670706473545,0.7914048010729591,0.12470359079840015,0.3424481457662271,0.27161723128166176,0.15063031161473087,0.19387774676863312,0.5592886214559294,0.11846320543890244,0.020235157203825238,0.2000000000000001,0.2204556839710896,0.18440336746191027,0.019393926958937147,0.7279376719320065,0.2887838010024725,0.4820663305456164
183.1,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7206040003941275,0.7913827970284062,0.12430640172085206,0.3443845491036658,0.26980898382100243,0.15018413597733712,0.1937885305611916,0.5593653433846046,0.1193115256730175,0.02195421028907528,0.2000000000000001,0.2204342639565641,0.1847619742237576,0.019567091633874857,0.7271345148627556,0.2889189387087241,0.4823009745837488
183.05,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7204409301409006,0.7913607929838531,0.12390921264330396,0.3463209524411047,0.2680007363603433,0.14973796033994335,0.1936993143537501,0.5594420653132798,0.12015984590713258,0.023673263374324117,0.2000000000000001,0.2204128439420386,0.18512058098560494,0.019740256308812563,0.7263313577935046,0.2890540764149757,0.482535618621881
183.0,0.13213536806830609,0.18217932583553698,0.3732848154044424,0.7202778598876737,0.7913387889393002,0.12351202356575584,0.3482573557785434,0.26619248889968405,0.14929178470254958,0.19361009814630856,0.559518787241955,0.12099550464521608,0.026051009150652383,0.2000000000000001,0.2204089929113356,0.18546564578110472,0.01991340253253291,0.7255282007749091,0.28918918209048394,0.4827702626600134
