Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level  (C = 176.6 106km2km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
23.03,0.0110752859464109,0.2109820867168791,0.7752497783032811,0.0142725401455688,0.1672755181547719,0.5925724562952612,0.0340162889518413,0.0267502324077611,0.3490059698553969,0.6089941882346448,0.0781668923406903,0.3636000000000001,0.2335064296914638,0.2825480287052415,0.1831818181818181,0.2390999999999999,0.1298701298701298,0.8201966473243069,0.0117647058823529,0.9090909090909092
23.025,0.0110846050912798,0.2101912177197465,0.7760050251256282,0.0142809181433749,0.1668708329492199,0.593142891529237,0.034024433427762,0.0268072123556374,0.3490637319557274,0.6091173945338527,0.0783634182893954,0.3630000000000001,0.2332225679921147,0.281952367807291,0.1829545454545454,0.23925,0.1298701298701298,0.8201966473243069,0.0117647058823529,0.9090909090909092
23.02,0.0110939242361487,0.2094003487226139,0.7767602719479753,0.0142892961411809,0.166466147743668,0.5937133267632129,0.0340325779036826,0.0268641923035136,0.3491214940560579,0.6092406008330606,0.0785599442381006,0.3624000000000001,0.2329387062927655,0.2813567069093405,0.1827272727272726,0.2394,0.1298701298701298,0.8201966473243069,0.0117647058823529,0.9090909090909092
23.015,0.0111032433810176,0.2086094797254812,0.7775155187703222,0.014297674138987,0.166061462538116,0.5942837619971888,0.0340407223796033,0.0269211722513899,0.3491792561563885,0.6093638071322686,0.0787564701868057,0.3618000000000001,0.2326548445934163,0.28076104601139,0.1824999999999999,0.2395499999999999,0.1298701298701298,0.8201966473243069,0.0117647058823529,0.9090909090909092
23.01,0.0111125625258865,0.2078186107283486,0.7782707655926693,0.014306052136793,0.1656567773325641,0.5948541972311646,0.034048866855524,0.0269781521992662,0.3492370182567191,0.6094870134314766,0.0789529961355108,0.3612000000000001,0.2323709828940672,0.2801653851134396,0.1822727272727272,0.2397,0.1298701298701298,0.8201966473243069,0.0117647058823529,0.9090909090909092
23.005,0.0111218816707554,0.207027741731216,0.7790260124150162,0.0143144301345991,0.1652520921270121,0.5954246324651405,0.0340570113314447,0.0270351321471425,0.3492947803570496,0.6096102197306845,0.079149522084216,0.3606000000000001,0.232087121194718,0.2795697242154891,0.1820454545454545,0.2398499999999999,0.1298701298701298,0.8201966473243069,0.0117647058823529,0.9090909090909092
23.0,0.0111312008156243,0.2062368727340834,0.7797812592373633,0.0143228081324052,0.1648474069214602,0.5959950676991164,0.0340651558073654,0.0270921120950188,0.3493525424573802,0.6097334260298924,0.0793460480329212,0.3600000000000001,0.2318032594953689,0.2789740633175386,0.1818181818181818,0.24,0.1298701298701298,0.8201966473243069,0.0117647058823529,0.9090909090909092
22.995,0.0111312008156243,0.2062368727340834,0.77962410089664,0.0143311861302112,0.1653286825079869,0.5953757095847892,0.034073300283286,0.0271558231591303,0.3494127669189747,0.6098552161647425,0.0792961377258828,0.3594000000000001,0.2315364800420808,0.2785205727666895,0.1818181818181818,0.24015,0.1268398268398267,0.8245553359683794,0.0105882352941176,0.9041322314049588
22.99,0.0111312008156243,0.2062368727340834,0.7794669425559169,0.0143395641280173,0.1658099580945136,0.5947563514704621,0.0340814447592067,0.0272195342232419,0.3494729913805693,0.6099770062995924,0.0792462274188444,0.3588000000000001,0.2312697005887928,0.2780670822158404,0.1818181818181818,0.2402999999999999,0.1238095238095237,0.8289140246124519,0.0094117647058823,0.8991735537190083
22.985000000000003,0.0111312008156243,0.2062368727340834,0.7793097842151936,0.0143479421258233,0.1662912336810404,0.594136993356135,0.0340895892351274,0.0272832452873534,0.3495332158421638,0.6100987964344424,0.079196317111806,0.3582000000000001,0.2310029211355047,0.2776135916649913,0.1818181818181818,0.24045,0.1207792207792207,0.8332727132565245,0.008235294117647,0.8942148760330579
22.980000000000004,0.0111312008156243,0.2062368727340834,0.7791526258744704,0.0143563201236294,0.1667725092675671,0.5935176352418079,0.0340977337110481,0.027346956351465,0.3495934403037584,0.6102205865692925,0.0791464068047676,0.3576000000000001,0.2307361416822167,0.2771601011141422,0.1818181818181818,0.2405999999999999,0.1177489177489176,0.837631401900597,0.0070588235294117,0.8892561983471075
22.975,0.0111312008156243,0.2062368727340834,0.7789954675337472,0.0143646981214355,0.1672537848540939,0.5928982771274807,0.0341058781869688,0.0274106674155766,0.349653664765353,0.6103423767041425,0.0790964964977292,0.3570000000000001,0.2304693622289287,0.2767066105632931,0.1818181818181818,0.24075,0.1147186147186146,0.8419900905446696,0.0058823529411764,0.884297520661157
22.97,0.0111312008156243,0.2062368727340834,0.7788383091930239,0.0143730761192415,0.1677350604406206,0.5922789190131535,0.0341140226628894,0.0274743784796881,0.3497138892269475,0.6104641668389924,0.0790465861906909,0.3564000000000001,0.2302025827756406,0.276253120012444,0.1818181818181818,0.2409,0.1116883116883116,0.8463487791887421,0.0047058823529411,0.8793388429752066
