Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level,TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
3.9,0.039264664,0.187244422,0.838821559,0.007689882,0.090202049,0.836833878,0.058626062,0.073391492,0.225373917,0.9481259,0.133948161,0.312,0.575159824,0.570735991,0.309090909,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.85,0.039540853,0.185195343,0.842969751,0.007752914,0.087347934,0.841730046,0.05861898,0.072512877,0.22440532,0.948295839,0.128414536,0.308,0.553900321,0.508728991,0.304545455,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.8,0.039817042,0.183146263,0.847117943,0.007815945,0.084493819,0.846626214,0.058611898,0.071634262,0.223436722,0.948451617,0.126580845,0.304,0.527120359,0.483445613,0.3,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.75,0.040093231,0.181097183,0.851266135,0.007878977,0.081639703,0.851522382,0.058604816,0.070755647,0.222468125,0.948607395,0.124747154,0.3,0.500340397,0.458162236,0.295454545,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.7,0.04036942,0.179048103,0.855414327,0.007942009,0.078785588,0.85641855,0.058597734,0.069877032,0.221499528,0.948763174,0.122913463,0.296,0.453456384,0.401887089,0.290909091,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.65,0.04064561,0.176999023,0.859562518,0.008005041,0.075931473,0.861314718,0.058590652,0.068998416,0.220530931,0.948930989,0.121078416,0.292,0.427387229,0.35312616,0.286363636,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.6,0.040921799,0.174949944,0.86371071,0.008068073,0.073077357,0.866210886,0.058583569,0.068119801,0.219562334,0.949098804,0.119243369,0.288,0.401318075,0.304365231,0.281818182,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.55,0.041197988,0.172900864,0.867858902,0.008131105,0.070223242,0.871107054,0.058576487,0.067241186,0.218593737,0.949249626,0.115561067,0.284,0.412560551,0.332266354,0.277272727,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.5,0.041474177,0.170851784,0.872007094,0.008194136,0.067369127,0.876003222,0.058569405,0.066362571,0.21762514,0.949400447,0.111878765,0.28,0.423803028,0.360167478,0.272727273,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.45,0.041750366,0.168802704,0.876155286,0.008257168,0.064515011,0.88089939,0.058562323,0.065483956,0.216656543,0.949617687,0.109433853,0.276,0.442891465,0.396566417,0.268181818,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.4,0.042026556,0.166753624,0.880303478,0.0083202,0.061660896,0.885795558,0.058555241,0.064605341,0.215687946,0.949834927,0.106988941,0.272,0.456306356,0.404028664,0.263636364,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.35,0.042302745,0.164704545,0.88445167,0.008383232,0.058806781,0.890691726,0.058548159,0.063726726,0.214719349,0.950052166,0.104544029,0.268,0.469721247,0.41149091,0.259090909,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.3,0.042578934,0.162655465,0.888599862,0.008446264,0.055952665,0.895587894,0.058541076,0.06284811,0.213750751,0.950286117,0.100867858,0.264,0.463083684,0.401141235,0.254545455,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.25,0.042855123,0.160606385,0.892748054,0.008509295,0.05309855,0.900484062,0.058533994,0.061969495,0.212782154,0.950520067,0.097191687,0.26,0.456446121,0.390791559,0.25,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.2,0.043131312,0.158557305,0.896896246,0.008572327,0.050244435,0.90538023,0.058526912,0.06109088,0.211813557,0.950754017,0.093515515,0.256,0.471006412,0.398043165,0.245454545,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.15,0.043407502,0.156508225,0.901044438,0.008635359,0.047390319,0.910276398,0.05851983,0.060212265,0.21084496,0.951008927,0.089841352,0.252,0.467445335,0.381960158,0.240909091,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3.1,0.043683691,0.154459145,0.90519263,0.008698391,0.044536204,0.915172566,0.058512748,0.05933365,0.209876363,0.951263837,0.086167188,0.248,0.463884257,0.365877152,0.236363636,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
